true_label,pred_label,confidence
Train,Bus,0.5603309273719788
Bus,Car & taxi,0.40924718976020813
Bus,Walk,0.7430814504623413
Subway,Car & taxi,0.41096314787864685
Bus,Walk,0.626248836517334
Car & taxi,Bike,0.4235403537750244
Train,Walk,0.30221477150917053
Bus,Bike,0.3013893961906433
Car & taxi,Walk,0.6491937637329102
Walk,Bike,0.6548847556114197
Car & taxi,Walk,0.4964994192123413
Walk,Bike,0.3432798981666565
Subway,Bus,0.47430190443992615
Subway,Car & taxi,0.388988196849823
Bike,Walk,0.7929937243461609
Car & taxi,Bus,0.5433142185211182
Bike,Walk,0.7110081911087036
Subway,Car & taxi,0.44664257764816284
Bus,Bike,0.5577056407928467
Subway,Car & taxi,0.3236713111400604
Train,Bus,0.791140079498291
Bus,Car & taxi,0.5989091396331787
Subway,Bus,0.6424881219863892
Walk,Bike,0.3835711181163788
Car & taxi,Walk,0.6206215620040894
Bus,Walk,0.8544982671737671
Bus,Subway,0.2742014527320862
Bus,Car & taxi,0.5496355295181274
Subway,Bus,0.47694072127342224
Car & taxi,Subway,0.3525298237800598
Walk,Bike,0.5013755559921265
Subway,Bus,0.81756192445755
Walk,Bus,0.5042109489440918
Bus,Walk,0.7721560001373291
Car & taxi,Walk,0.8329458236694336
Bike,Car & taxi,0.46545857191085815
Bike,Walk,0.8127620220184326
Car & taxi,Bus,0.7276055812835693
Train,Bus,0.33855167031288147
Walk,Bike,0.5277737975120544
Car & taxi,Walk,0.808773398399353
Walk,Bike,0.5814986228942871
Bike,Walk,0.6506178975105286
Walk,Bike,0.6139495968818665
Subway,Walk,0.8653985857963562
Train,Bus,0.4503868520259857
Car & taxi,Bus,0.5228304862976074
Walk,Bus,0.3057786226272583
Bike,Bus,0.37586453557014465
Car & taxi,Bus,0.5102775692939758
Car & taxi,Bus,0.5932777523994446
Bike,Bus,0.462335467338562
Car & taxi,Bus,0.765612006187439
Bus,Car & taxi,0.48974964022636414
Bus,Walk,0.7650355100631714
Bike,Walk,0.5421503186225891
Subway,Car & taxi,0.4491696059703827
Bus,Walk,0.8704202175140381
Train,Bike,0.392525851726532
Car & taxi,Walk,0.5138819813728333
Bike,Subway,0.3177446126937866
Car & taxi,Bus,0.4141732454299927
Subway,Car & taxi,0.45149052143096924
Bike,Bus,0.3118516802787781
Bus,Walk,0.23798015713691711
Walk,Bike,0.38530948758125305
Bike,Walk,0.9534512162208557
Walk,Car & taxi,0.27145916223526
Subway,Bus,0.3629798889160156
Train,Walk,0.6080175042152405
Bus,Car & taxi,0.6224324107170105
Bike,Bus,0.7870901823043823
Bike,Walk,0.700173020362854
Bus,Walk,0.8475332856178284
Bus,Walk,0.6778154969215393
Bus,Walk,0.9077662229537964
Car & taxi,Walk,0.9021731615066528
Bus,Walk,0.5558179616928101
Bike,Walk,0.7366738319396973
Train,Car & taxi,0.22840538620948792
Train,Walk,0.796682596206665
Subway,Car & taxi,0.4273509085178375
Car & taxi,Bike,0.4448740482330322
Train,Walk,0.46304967999458313
Walk,Bike,0.4288162887096405
Bike,Walk,0.8924311995506287
Bike,Walk,0.8355249762535095
Subway,Walk,0.2643294036388397
Car & taxi,Walk,0.6906801462173462
Car & taxi,Walk,0.7002639174461365
Subway,Bus,0.5594954490661621
Subway,Bus,0.5003420114517212
Bus,Bike,0.48380613327026367
Bike,Bus,0.4235479533672333
Bike,Bus,0.3581705391407013
Bus,Walk,0.5010473728179932
Subway,Walk,0.6114843487739563
Bike,Walk,0.8570720553398132
Bus,Walk,0.9108037352561951
Bus,Car & taxi,0.6588724851608276
Train,Subway,0.29719078540802
Car & taxi,Bike,0.5499120354652405
Walk,Bus,0.48062750697135925
Car & taxi,Bike,0.3603915274143219
Car & taxi,Walk,0.30173543095588684
Walk,Bike,0.3829290270805359
Subway,Bike,0.3051321506500244
Walk,Bus,0.5318674445152283
Car & taxi,Bus,0.5305203795433044
Bus,Walk,0.635611355304718
Bike,Walk,0.5530440211296082
Bike,Walk,0.6462326049804688
Walk,Bike,0.5178995728492737
Car & taxi,Bus,0.3142405152320862
Walk,Bike,0.2968268096446991
Bike,Bus,0.4211375117301941
Car & taxi,Walk,0.5093230605125427
Car & taxi,Walk,0.45721590518951416
Car & taxi,Bike,0.7502532601356506
Bus,Bike,0.48492467403411865
Bus,Car & taxi,0.6541262865066528
Bus,Bike,0.48492467403411865
Subway,Car & taxi,0.6717514991760254
Walk,Bus,0.6851661801338196
Bike,Bus,0.3581705391407013
Bike,Walk,0.6866059899330139
Subway,Car & taxi,0.4559016227722168
Bike,Walk,0.8721035718917847
Walk,Car & taxi,0.4119049906730652
Bike,Walk,0.7962780594825745
Bike,Walk,0.6734172701835632
Bus,Walk,0.8303307294845581
Car & taxi,Walk,0.46281689405441284
Subway,Car & taxi,0.5565593838691711
Bike,Walk,0.47106316685676575
Car & taxi,Bus,0.45647624135017395
Bike,Walk,0.3167605400085449
Walk,Bus,0.370516836643219
Car & taxi,Walk,0.4371638596057892
Bike,Walk,0.6692935228347778
Car & taxi,Walk,0.6444361805915833
Bike,Bus,0.5245245695114136
Bike,Walk,0.7344666719436646
Car & taxi,Walk,0.7106921672821045
Car & taxi,Bus,0.373591810464859
Car & taxi,Walk,0.868224561214447
Bike,Walk,0.6648118495941162
Bus,Walk,0.42057234048843384
Car & taxi,Bus,0.4893604516983032
Bike,Bus,0.8161855340003967
Train,Car & taxi,0.2140035480260849
Car & taxi,Bus,0.24896882474422455
Car & taxi,Walk,0.44580113887786865
Bus,Bike,0.5126754641532898
Bus,Walk,0.46587279438972473
Bus,Walk,0.6999936699867249
Bus,Car & taxi,0.617854654788971
Car & taxi,Walk,0.2812930643558502
Subway,Car & taxi,0.6139665842056274
Bike,Walk,0.4676482081413269
Bike,Walk,0.9473810195922852
Bus,Walk,0.627681314945221
Subway,Walk,0.5395004153251648
Car & taxi,Bus,0.6738707423210144
Bus,Walk,0.6004840135574341
Bike,Bus,0.7337336540222168
Bus,Bike,0.3986392021179199
Car & taxi,Walk,0.3781454265117645
Subway,Walk,0.9069945216178894
Bike,Walk,0.5809271931648254
Bus,Bike,0.7193402647972107
Walk,Bus,0.7345714569091797
Bus,Walk,0.47876980900764465
Train,Walk,0.3421820402145386
Bus,Walk,0.30184730887413025
Bus,Walk,0.6238152980804443
Bus,Car & taxi,0.5083525776863098
Subway,Car & taxi,0.2714247703552246
Bike,Walk,0.7105763554573059
Bike,Bus,0.3028627336025238
Walk,Bus,0.7408419251441956
Bus,Walk,0.41685792803764343
Car & taxi,Walk,0.40408748388290405
Bike,Walk,0.777317464351654
Bike,Car & taxi,0.38738569617271423
Bike,Walk,0.9273234605789185
Car & taxi,Bike,0.4479423463344574
Car & taxi,Bike,0.6399614810943604
Bike,Walk,0.6863576173782349
Bike,Walk,0.6523305773735046
Bus,Car & taxi,0.3828531503677368
Car & taxi,Bus,0.3663853704929352
Bus,Car & taxi,0.593838632106781
Subway,Walk,0.8340786695480347
Subway,Walk,0.8005638122558594
Walk,Subway,0.3142684996128082
Bus,Walk,0.761303186416626
Bike,Walk,0.8661472201347351
Bus,Subway,0.3818616569042206
Car & taxi,Bike,0.8004216551780701
Bus,Bike,0.555759847164154
Bike,Walk,0.3807399868965149
Car & taxi,Walk,0.4795200228691101
Bus,Car & taxi,0.7106187343597412
